pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
KOI-1257 b,KOI-1257,Transit,2014,G,5520.0,1.13,0.99,0.27,4.32,656.0,14.818,12.726,14.6419
KOI-134 b,KOI-134,Transit,2025,F,6160.0,1.667,1.407,0.427,4.11,1159.21,13.773,12.322,13.6323
KOI-134 c,KOI-134,Transit Timing Variations,2025,F,6160.0,1.667,1.407,0.427,4.11,1159.21,13.773,12.322,13.6323
KOI-142 b,KOI-142,Transit,2013,G,5466.0,0.897,0.99,0.27,4.528,376.863,13.209,11.454,13.1048
KOI-142 c,KOI-142,Transit Timing Variations,2013,G,5466.0,0.897,0.99,0.27,4.528,376.863,13.209,11.454,13.1048
KOI-4978 b,KOI-4978,Transit,2024,G,5050.28,0.966,0.859,0.18,4.402,936.341,15.633,13.507,15.2477
KOI-55 b,KOI-55,Orbital Brightness Modulation,2011,B,27730.0,0.203,0.496,-0.106,5.52,1231.02,15.154,15.495,14.9062
KOI-55 c,KOI-55,Orbital Brightness Modulation,2011,B,27730.0,0.203,0.496,-0.106,5.52,1231.02,15.154,15.495,14.9062
KOI-7913 b,KOI-7913 A,Transit,2022,K,4324.0,0.788,0.76,-0.06,4.523,271.277,14.23,11.212,14.2239
KPS-1 b,KPS-1,Transit,2018,K,5165.0,0.907,0.892,0.22,4.47,262.706,12.97,10.931,12.7933
Kapteyn c,Kapteyn,Radial Velocity,2014,M,3550.0,0.291,0.281,-0.89,4.92351,3.93305,8.86,5.049,8.06198
Kepler-101 b,Kepler-101,Transit,2014,G,5667.0,1.56,1.17,0.33,4.12,927.981,13.7,12.011,13.5672
Kepler-101 c,Kepler-101,Transit,2014,G,5667.0,1.56,1.17,0.33,4.12,927.981,13.7,12.011,13.5672
